frameIndex,frameTime,pcm_LOGenergy
0,0,-13.83729
1,0.01,-13.44107
2,0.02,-13.62546
3,0.03,-13.71792
4,0.04,-12.56511
5,0.05,-12.10091
6,0.06,-12.1667
7,0.07,-12.4186
8,0.08,-12.32635
9,0.09,-12.22799
10,0.1,-12.89224
11,0.11,-12.41491
12,0.12,-12.44319
13,0.13,-12.86947
14,0.14,-13.16939
15,0.15,-12.61712
16,0.16,-12.29953
17,0.17,-11.83391
18,0.18,-11.49516
19,0.19,-11.49378
20,0.2,-11.75908
21,0.21,-12.12608
22,0.22,-12.35089
23,0.23,-12.30946
24,0.24,-12.32118
25,0.25,-12.46999
26,0.26,-12.68657
27,0.27,-12.81627
28,0.28,-13.22849
29,0.29,-12.86264
30,0.3,-11.94988
31,0.31,-11.5008
32,0.32,-11.46078
33,0.33,-12.16701
34,0.34,-12.26929
35,0.35,-12.28526
36,0.36,-12.15306
37,0.37,-12.14713
38,0.38,-12.54151
39,0.39,-13.40814
40,0.4,-13.56043
41,0.41,-12.83917
42,0.42,-12.56761
43,0.43,-12.62519
44,0.44,-12.70627
45,0.45,-12.99606
46,0.46,-12.53055
47,0.47,-12.45418
48,0.48,-12.38238
49,0.49,-12.30676
50,0.5,-5.396017
51,0.51,-5.23691
52,0.52,-4.95894
53,0.53,-4.997384
54,0.54,-4.13832
55,0.55,-3.643159
56,0.56,-3.339661
57,0.57,-3.238401
58,0.58,-3.149915
59,0.59,-3.511308
60,0.6,-4.145247
61,0.61,-4.887389
62,0.62,-6.262983
63,0.63,-7.656088
64,0.64,-9.628673
65,0.65,-10.3433
66,0.66,-12.66793
67,0.67,-12.64151
68,0.68,-12.4177
69,0.69,-11.8085
70,0.7,-7.853314
71,0.71,-6.509054
72,0.72,-6.164058
73,0.73,-6.688681
74,0.74,-7.910398
75,0.75,-7.771422
76,0.76,-6.944777
77,0.77,-6.537045
78,0.78,-6.66329
79,0.79,-7.115587
80,0.8,-7.295558
81,0.81,-7.313611
82,0.82,-7.364268
83,0.83,-7.38301
84,0.84,-7.187675
85,0.85,-7.255556
86,0.86,-7.336909
87,0.87,-7.885291
88,0.88,-8.125618
89,0.89,-8.471457
90,0.9,-8.457055
91,0.91,-6.002541
92,0.92,-5.170755
93,0.93,-4.487965
94,0.94,-4.201752
95,0.95,-3.790037
96,0.96,-3.769508
97,0.97,-3.61413
98,0.98,-3.422699
99,0.99,-3.035358
100,1,-2.616601
101,1.01,-2.562766
102,1.02,-2.479151
103,1.03,-2.583405
104,1.04,-2.67756
105,1.05,-2.835133
106,1.06,-3.327002
107,1.07,-5.798934
108,1.08,-8.308707
109,1.09,-8.926717
110,1.1,-8.973655
111,1.11,-7.739194
112,1.12,-6.980775
113,1.13,-6.527586
114,1.14,-6.570762
115,1.15,-6.262053
116,1.16,-5.977673
117,1.17,-5.747427
118,1.18,-5.474329
119,1.19,-5.600907
120,1.2,-5.555405
121,1.21,-5.438075
122,1.22,-5.422728
123,1.23,-5.564977
124,1.24,-5.662038
125,1.25,-5.856187
126,1.26,-5.987417
127,1.27,-6.115727
128,1.28,-6.223251
129,1.29,-6.50338
130,1.3,-6.857425
131,1.31,-6.96911
132,1.32,-7.087968
133,1.33,-7.183276
134,1.34,-7.30125
135,1.35,-7.330158
136,1.36,-7.465061
137,1.37,-7.320031
138,1.38,-7.30003
139,1.39,-7.15729
140,1.4,-7.018352
141,1.41,-6.936583
142,1.42,-7.020099
143,1.43,-7.190358
144,1.44,-7.336976
145,1.45,-7.455074
146,1.46,-7.697443
147,1.47,-8.056626
148,1.48,-8.49052
149,1.49,-9.36056
150,1.5,-10.51523
151,1.51,-11.80237
152,1.52,-12.09598
153,1.53,-12.12875
154,1.54,-12.28207
155,1.55,-11.75269
156,1.56,-11.69275
157,1.57,-12.256
158,1.58,-12.72078
159,1.59,-12.94958
160,1.6,-12.54818
161,1.61,-12.15686
162,1.62,-11.8966
163,1.63,-12.41764
164,1.64,-12.73472
165,1.65,-12.42516
166,1.66,-12.53127
167,1.67,-12.44064
168,1.68,-12.34712
169,1.69,-12.60506
170,1.7,-13.01916
171,1.71,-13.14566
172,1.72,-13.0164
173,1.73,-13.09067
174,1.74,-12.94593
175,1.75,-12.53753
176,1.76,-11.66644
177,1.77,-11.62309
178,1.78,-12.16863
179,1.79,-12.53936
180,1.8,-12.46827
181,1.81,-12.88802
182,1.82,-12.55152
183,1.83,-12.71599
184,1.84,-12.99332
185,1.85,-12.95524
186,1.86,-12.88159
187,1.87,-12.75876
188,1.88,-12.58109
189,1.89,-12.46177
190,1.9,-12.51775
191,1.91,-12.39732
192,1.92,-11.9204
193,1.93,-11.74318
194,1.94,-12.14991
195,1.95,-12.57968
196,1.96,-12.73235
197,1.97,-12.69979
198,1.98,-12.83366
199,1.99,-12.7492
200,2,-12.45687
201,2.01,-12.25928
